success
Mindex MINXOBJ
WPTouch TCP
WPPrinter WPPRINT
WPSpool WPPRINT
WPRPrinter WPPRINT
WPObject PMWP
WPSystem WPCONFIG
WPFileSystem PMWP
WPDataFile PMWP
WPProgramFile PMWP
WPFolder PMWP
WPDrives PMWP
WPShredder PMWP
WPStartup PMWP
WPDisk PMWP
WPDesktop PMWP
WPNetwork PMWP
WPAbstract PMWP
WPProgram PMWP
WPMouse WPCONFIG
WPKeyboard WPCONFIG
WPCountry WPCONFIG
WPClock WPCONFIG
WPSound WPCONFIG
WPFontPalette WPCONFIG
WPColorPalette WPCONFIG
WPSchemePalette WPCONFIG
WPShadow PMWP
WPTransient PMWP
WPTemplates PMWP
WPPalette WPCONFIG
WPFilter PMWP
WPFinder PMWP
WPFindFolder PMWP
WPPrinterDriver WPPRINT
WPCommandFile PMWP
WPBitmap PMWP
WPPointer PMWP
WPIcon PMWP
WPMet PMWP
WPPif PMWP
WPRootFolder PMWP
WPNetgrp PMWP
WPServer PMWP
WPSharedDir PMWP
WPNetLink PMWP
WPMinWinViewer PMWP
WPMinWindow PMWP
WPCnrView PMWP
WPFolderCV PMWP
WPDiskCV PMWP
WPWinConfig WINCFG
WPPower WPCONFIG
Ezplay EZPLAY2
WPLaunchPad PMWP
WPImageFile PMWP
ODwps PMWP
WPUrl WPINET
WPUrlFolder WPINET
WPHtml WPINET
WPHost WPINET
WPFtpObj WPINET
WPHostFolder WPINET
WPJavaRef WPINET
WPJavaClass WPINET
WPFtpDir WPINET
SCShadow SCENTER
SmartCenter SCENTER
WPVault PMWP
WPFtpLink WPINET
WPHwManager PNP
WPDevice PNP
WPDevAudio PNP
WPDevBus PNP
WPDevCDRom PNP
WPDevCPU PNP
WPDevDisplay PNP
WPDevDiskette PNP
WPDevHarddrive PNP
WPDevKeyboard PNP
WPDevMemory PNP
WPDevMouse PNP
WPDevParallel PNP
WPDevPeriph PNP
WPDevSerial PNP
WPDevTape PNP
WPDevTimer PNP
MMAU MMPARTS
AApdf D:\TVOICE\WISEPROG\ACROBAT\READOS2\AAPDF.DLL
StarChartFile SOAGENT
StarMathFile SOAGENT
StarDrawFile SOAGENT
StarImpressFile SOAGENT
StarCalcFile SOAGENT
StarWriterGlobalFile SOAGENT
StarWriterFile SOAGENT
StarOfficeAgent SOAGENT
WordProDocObj D:\OS2\DLL\LWPWPS.DLL
WPCDocument WPCDOC
OverrideFlDocEx OVRFLDOC
OverrideApDocEx OVRAPDOC
Override123DocEx L14WPD
OverrideOrDocEx OVRORDOC
IWFProject IWFPRJ
IWFQuickStart IWFSTART
IWFRouter IWFWORM
WPCat WPCAT
WPInstall D:\OS2\DLL\INSTALL.DLL
MMDataFile MMPARTS
MMImage MMPARTS
MMAudio MMPARTS
MMVideo MMPARTS
MMMIDI MMPARTS
MMTarga MMPARTS
MMTIFF MMPARTS
MMGIF MMPARTS
MMPCX MMPARTS
MMPhotoCD MMPARTS
MMAVC MMPARTS
MMMMotion MMPARTS
MMDIB MMPARTS
MMDevice MMPARTS
MMCDDevice MMPARTS
MMLVDDevice MMPARTS
MMVolume MMPARTS
MMVOC MMPARTS
MM_AU MMPARTS
MMAIF MMPARTS
MMIFF MMPARTS
MMSNDF MMPARTS
MMAVI MMPARTS
MMFLI MMPARTS
MMMPG MMPARTS
MMMOV MMPARTS
MMJPG MMPARTS
MMWAV MMPARTS
MMFolder MMPARTS
MMBitmap MMBIT
MMShadow MMSHD
MMFinder MMPARTS
MMSound MMSND
XFldProgramFile D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
MMInetMgr INETMGR
CWProgFolder D:\OS2\DLL\PROGFLDR.DLL
CWAudioFolder D:\OS2UTIL\CDCREATOR\AUCDFLDR.DLL
CWDataFolder D:\OS2UTIL\CDCREATOR\AUCDFLDR.DLL
CWCreatorSettings D:\OS2UTIL\CDCREATOR\AUCDFLDR.DLL
PMVDDrop D:\OS2\DLL\PMVDDROP.DLL
XWPFileSystem D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XFolder D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XFldObject D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XFldDataFile D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XFldDisk D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XFldDesktop D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPProgramFile D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPSound D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
XWPString D:\OS2UTIL\XWORKPLACE\BIN\XFLDR.DLL
